Region/Country/Area,,Year,Series,Value
16,American Samoa,2010,Population aged 60+ years old (percentage),6.749
16,American Samoa,2010,Population density,278.185
16,American Samoa,2016,Population mid-year estimates (millions),0.0556
16,American Samoa,2016,Sex ratio (males per 100 females),103.6101
16,American Samoa,2016,Population aged 0 to 14 years old (percentage),33.3418
16,American Samoa,2016,Population aged 60+ years old (percentage),8.9579
16,American Samoa,2016,Population density,277.995
16,American Samoa,2017,Population mid-year estimates (millions),0.0556
16,American Samoa,2017,Population density,278.205
16,American Samoa,2017,Surface area (thousand km2),0.199
16,American Samoa,2019,Population mid-year estimates (millions),0.0553
16,American Samoa,2019,Population density,276.56
20,Andorra,2005,Population mid-year estimates (millions),0.0789
20,Andorra,2005,Sex ratio (males per 100 females),109.0459
20,Andorra,2005,Population aged 0 to 14 years old (percentage),15.0632
20,Andorra,2005,Population aged 60+ years old (percentage),16.0537
20,Andorra,2005,Population density,167.8021
20,Andorra,2010,Population mid-year estimates (millions),0.0844
20,Andorra,2010,Sex ratio (males per 100 females),108.4696
20,Andorra,2010,Population aged 0 to 14 years old (percentage),13.9777
20,Andorra,2010,Population aged 60+ years old (percentage),18.594
20,Andorra,2010,Population density,179.6787
20,Andorra,2016,Population mid-year estimates (millions),0.0773
20,Andorra,2016,Sex ratio (males per 100 females),102.2981
20,Andorra,2016,Population aged 0 to 14 years old (percentage),14.4338
20,Andorra,2016,Population aged 60+ years old (percentage),19.0387
20,Andorra,2016,Population density,164.4277
20,Andorra,2017,Population mid-year estimates (millions),0.077
20,Andorra,2017,Population density,163.7553
20,Andorra,2017,Surface area (thousand km2),0.468
20,Andorra,2019,Population mid-year estimates (millions),0.0771
20,Andorra,2019,Population density,164.1319
24,Angola,2005,Population mid-year estimates (millions),19.4336
24,Angola,2005,Population mid-year estimates for males (millions),9.6395
24,Angola,2005,Population mid-year estimates for females (millions),9.7941
24,Angola,2005,Sex ratio (males per 100 females),98.4209
24,Angola,2005,Population aged 0 to 14 years old (percentage),46.884
24,Angola,2005,Population aged 60+ years old (percentage),3.9544
24,Angola,2005,Population density,15.588
24,Angola,2010,Population mid-year estimates (millions),23.3562
24,Angola,2010,Population mid-year estimates for males (millions),11.5493
24,Angola,2010,Population mid-year estimates for females (millions),11.807
24,Angola,2010,Sex ratio (males per 100 females),97.8175
24,Angola,2010,Population aged 0 to 14 years old (percentage),47.0416
24,Angola,2010,Population aged 60+ years old (percentage),3.7607
24,Angola,2010,Population density,18.7345
24,Angola,2017,Population mid-year estimates (millions),29.8168
24,Angola,2017,Population mid-year estimates for males (millions),14.7493
24,Angola,2017,Population mid-year estimates for females (millions),15.0675
24,Angola,2017,Sex ratio (males per 100 females),97.8886
24,Angola,2017,Population aged 0 to 14 years old (percentage),46.953
24,Angola,2017,Population aged 60+ years old (percentage),3.5797
24,Angola,2017,Population density,23.9166
24,Angola,2017,Surface area (thousand km2),1246.7
24,Angola,2019,Population mid-year estimates (millions),31.8253
24,Angola,2019,Population mid-year estimates for males (millions),15.7448
24,Angola,2019,Population mid-year estimates for females (millions),16.0805
24,Angola,2019,Sex ratio (males per 100 females),97.9121
24,Angola,2019,Population aged 0 to 14 years old (percentage),46.622
24,Angola,2019,Population aged 60+ years old (percentage),3.6243
24,Angola,2019,Population density,25.5276
660,Anguilla,2001,Population mid-year estimates (millions),0.0114
660,Anguilla,2001,Sex ratio (males per 100 females),97.2867
660,Anguilla,2001,Population aged 0 to 14 years old (percentage),27.6966
660,Anguilla,2001,Population aged 60+ years old (percentage),10.1548
660,Anguilla,2001,Population density,126.3556
660,Anguilla,2005,Population mid-year estimates (millions),0.0126
660,Anguilla,2005,Population density,140.4222
660,Anguilla,2010,Population mid-year estimates (millions),0.0138
660,Anguilla,2010,Population density,152.9889
660,Anguilla,2011,Population mid-year estimates (millions),0.014
660,Anguilla,2011,Sex ratio (males per 100 females),97.5503
660,Anguilla,2011,Population aged 0 to 14 years old (percentage),23.295
660,Anguilla,2011,Population aged 60+ years old (percentage),7.5509
660,Anguilla,2011,Population density,155.0111
660,Anguilla,2017,Population mid-year estimates (millions),0.0149
660,Anguilla,2017,Population density,165.6556
660,Anguilla,2017,Surface area (thousand km2),0.091
660,Anguilla,2019,Population mid-year estimates (millions),0.0149
660,Anguilla,2019,Population density,165.2111
28,Antigua and Barbuda,2005,Population mid-year estimates (millions),0.0815
28,Antigua and Barbuda,2005,Population mid-year estimates for males (millions),0.0386
28,Antigua and Barbuda,2005,Population mid-year estimates for females (millions),0.0428
28,Antigua and Barbuda,2005,Sex ratio (males per 100 females),90.1896
28,Antigua and Barbuda,2005,Population aged 0 to 14 years old (percentage),26.5071
28,Antigua and Barbuda,2005,Population aged 60+ years old (percentage),9.8165
28,Antigua and Barbuda,2005,Population density,185.1477
28,Antigua and Barbuda,2010,Population mid-year estimates (millions),0.088
28,Antigua and Barbuda,2010,Population mid-year estimates for males (millions),0.0421
28,Antigua and Barbuda,2010,Population mid-year estimates for females (millions),0.0459
28,Antigua and Barbuda,2010,Sex ratio (males per 100 females),91.7364
28,Antigua and Barbuda,2010,Population aged 0 to 14 years old (percentage),24.34
28,Antigua and Barbuda,2010,Population aged 60+ years old (percentage),10.7375
28,Antigua and Barbuda,2010,Population density,200.0636
28,Antigua and Barbuda,2017,Population mid-year estimates (millions),0.0954
28,Antigua and Barbuda,2017,Population mid-year estimates for males (millions),0.046
28,Antigua and Barbuda,2017,Population mid-year estimates for females (millions),0.0494
28,Antigua and Barbuda,2017,Sex ratio (males per 100 females),93.0156
